question_id,question_type,sentence,relation_type,option_A,option_B,option_C,option_D,gold_option,gpt_answer,deepseek_answer,bert_answer,eval_gpt,eval_deepseek,eval_bert
Q1_吃_eat_0355,Q1,下面一起来看看国内公认十大最好吃的鸡品种。,proto,把东西送进口中咽下,感受,忍受，承受,,A,A,A,B,Correct,Correct,Incorrect
Q1_开_open_0111,Q1,整理了一下新手开机的常见错误。,proto,贯通，使通,扩大,启，张，把关闭的东西打开,分割,C,C,C,A,Correct,Correct,Incorrect
Q1_走_move_0260,Q1,包括形容人走了又来了的词是什么(成语形容人来了又走了)成语解释，拼音，成语出处等。,image schema,往来，社交,移动,行走,,C,C,B,C,Correct,Incorrect,Correct
Q1_走_social_contact_0273,Q1,春节走亲戚、回娘家，是中国人祖祖辈辈传承下来的习俗。,metaphorical,移动,往来，社交,行走,,C,B,A,A,Incorrect,Incorrect,Incorrect
Q1_走_move_0264,Q1,包括形容人走了又来了的词是什么(成语形容人来了又走了)成语解释，拼音，成语出处等。,image schema,行走,移动,往来，社交,,A,C,A,D,Incorrect,Correct,Incorrect
Q1_拿_control_0018,Q1,例句有“对他来说，这是个十拿九稳的事。,metaphorical,拿取实物,攻下，占领,控制、掌控,,A,A,A,B,Correct,Correct,Incorrect
Q1_拿_control_0010,Q1,经过代理机构申报专利的前提下，专利授权后，中介机构11--15天拿到…。,metaphorical,控制、掌控,拿取实物,攻下，占领,,B,B,B,D,Correct,Correct,Incorrect
Q1_吃_bear_0375,Q1,此词本为石匠师傅打石磨时，石胚吃一钎，石胚即长一齿之意。,metaphorical,感受,忍受，承受,把东西送进口中咽下,,C,B,B,C,Incorrect,Incorrect,Correct
Q1_拿_control_0011,Q1,"手拿把攥，汉语俗语，北京地方俗语中的常用表达，其核心语义为""比喻对某事的处理很有把握""。",metaphorical,拿取实物,攻下，占领,控制、掌控,,A,A,A,B,Correct,Correct,Incorrect
Q1_吃_bear_0381,Q1,遗憾的是，今天仍有很多只吃堑不长智的人。,metaphorical,感受,忍受，承受,把东西送进口中咽下,,C,C,B,D,Correct,Incorrect,Incorrect
Q1_开_cut_through_0120,Q1,建设更高水平开放型经济新体制，海关…。,image schema,分割,贯通，使通,扩大,启，张，把关闭的东西打开,D,B,D,B,Incorrect,Correct,Incorrect
Q1_走_walk_0250,Q1,不一会，它又出现在阳台外面，沿着阑干慢慢走过…。,proto,往来，社交,行走,移动,,B,B,B,C,Correct,Correct,Incorrect
Q1_走_walk_0258,Q1,他等啊等，一直不见公共汽车的影子，元元决定走到学校去。,proto,行走,移动,往来，社交,,A,A,A,C,Correct,Correct,Incorrect
Q1_开_cut_through_0122,Q1,就是一把钥匙能开启一定范围内的挂锁。,image schema,贯通，使通,启，张，把关闭的东西打开,扩大,分割,B,A,B,A,Incorrect,Correct,Incorrect
Q1_拿_take_0000,Q1,高考这么重要的事情，如果他们还能忘记拿准考证跑错考场，那…。,proto,控制、掌控,攻下，占领,拿取实物,,C,C,C,B,Correct,Correct,Incorrect
Q1_拿_control_0012,Q1,相近表达：与之意思相近的成语有“十拿九稳”“稳操胜…。,metaphorical,控制、掌控,拿取实物,攻下，占领,,B,B,B,D,Correct,Correct,Incorrect
Q1_开_cut_through_0117,Q1,开通后支持刷手机乘坐公交、地铁、出租、轮渡、有轨电…。,image schema,扩大,贯通，使通,分割,启，张，把关闭的东西打开,D,B,B,C,Incorrect,Incorrect,Incorrect
Q1_开_enlarge_0126,Q1,番禺经开区成立于2018年，是由广东省政府批准设立的省…。,metaphorical,扩大,启，张，把关闭的东西打开,分割,贯通，使通,B,B,B,A,Correct,Correct,Incorrect
Q1_拿_occupy_0024,Q1,5.他拿下了钢琴比赛的最高奖项。,image schema,控制、掌控,拿取实物,攻下，占领,,B,A,B,B,Incorrect,Correct,Correct
Q1_开_seperate_0142,Q1,然而，劈开砖的质量直接影响到建筑的美观和安全性，因此对其性能的检测显得尤为重要。,image schema,扩大,贯通，使通,启，张，把关闭的东西打开,分割,C,D,D,D,Incorrect,Incorrect,Incorrect
Q1_吃_feel_0368,Q1,比如在某个制度或规定下，因为不符合要求而无法实现自己的想法或行动，这也可以被形容为“吃瘪”。,metaphorical,感受,把东西送进口中咽下,忍受，承受,,B,B,B,D,Correct,Correct,Incorrect
Q1_走_move_0269,Q1,"如果你身边有朋友也在为网贷逾期烦恼,不妨把这篇文章分享给他，也许就能帮他们少走一些弯路。",image schema,往来，社交,行走,移动,,B,B,B,C,Correct,Correct,Incorrect
Q1_拿_control_0015,Q1,对于内地人来说，拿到一个香港身份的好处是非常多的，比如在子女教育方面，不仅可以享受…。,metaphorical,控制、掌控,攻下，占领,拿取实物,,C,C,C,C,Correct,Correct,Correct
Q1_走_walk_0257,Q1,每分钟走50米，距离学校还有：…。,proto,移动,往来，社交,行走,,C,C,A,A,Correct,Incorrect,Incorrect
Q1_拿_occupy_0022,Q1,“拿下”的近义词有：取下、攻占、占领、征服、战胜抢首…。,image schema,攻下，占领,拿取实物,控制、掌控,,B,B,B,D,Correct,Correct,Incorrect
Q1_开_cut_through_0119,Q1,重大项目推进情况城开高速。,image schema,贯通，使通,分割,启，张，把关闭的东西打开,扩大,C,A,A,D,Incorrect,Incorrect,Incorrect
Q1_开_seperate_0140,Q1,传统的劈开砖，就是同质砖、面砖、外墙砖…。,image schema,贯通，使通,分割,启，张，把关闭的东西打开,扩大,C,B,B,B,Incorrect,Incorrect,Incorrect
Q1_走_social_contact_0276,Q1,所以，面对势利眼的亲戚，减少走动才是明智之举。,metaphorical,往来，社交,移动,行走,,C,C,B,B,Correct,Incorrect,Incorrect
Q1_开_open_0105,Q1,2、处罚措施：违反开灯规定可能面临警…。,proto,启，张，把关闭的东西打开,扩大,分割,贯通，使通,A,A,A,D,Correct,Correct,Incorrect
Q1_开_seperate_0137,Q1,劈开砖，也名劈裂砖、劈离砖，是传统陶瓷墙砖的一种，因纹理独特，质感细腻，多年来广受青睐。,image schema,贯通，使通,启，张，把关闭的东西打开,扩大,分割,B,D,D,A,Incorrect,Incorrect,Incorrect
Q1_吃_bear_0379,Q1,成语“吃一堑，长一智”的字面意思是，遭受一次挫折，就获得一次教训，得到一次提高与收获。,metaphorical,把东西送进口中咽下,感受,忍受，承受,,A,A,C,B,Correct,Incorrect,Incorrect
Q1_拿_take_0009,Q1,"摄图网为您提供164个拿手机免抠元素,包含拿手机元素,拿手机免抠素材,拿手机png图片等,欢迎下载。",proto,控制、掌控,攻下，占领,拿取实物,,C,C,C,C,Correct,Correct,Correct
Q1_开_open_0108,Q1,每个人按照编号对灯进行开关…。,proto,扩大,分割,贯通，使通,启，张，把关闭的东西打开,D,D,D,D,Correct,Correct,Correct
Q1_开_seperate_0141,Q1,林羽原本是一个平凡的上班族，然而一次意外让他获得了劈开山岳的能力，从此…。,image schema,启，张，把关闭的东西打开,贯通，使通,扩大,分割,A,D,D,C,Incorrect,Incorrect,Incorrect
Q1_拿_occupy_0025,Q1,想要拿下一个项目，涉及各方面的因素，不仅仅需要公司自身的实力，还有这几点你需要做到：一、政策…。,image schema,拿取实物,攻下，占领,控制、掌控,,A,B,A,C,Incorrect,Correct,Incorrect
Q1_吃_feel_0372,Q1,在咸宁方言中，“吃瘪”是形容一个人被迫屈服、认输的窘态；而在宁波方言和上海话里，“吃…。,metaphorical,把东西送进口中咽下,感受,忍受，承受,,A,A,A,A,Correct,Correct,Correct
Q1_拿_occupy_0028,Q1,外贸参展如何抓住近距离沟通的优势，拿下客户?做…。,image schema,控制、掌控,拿取实物,攻下，占领,,B,A,B,A,Incorrect,Correct,Incorrect
Q1_走_social_contact_0278,Q1,走亲戚的次序已然变成了某种纯时间性质的前后，而其生产则是人际之间...。,metaphorical,往来，社交,移动,行走,,C,B,B,D,Incorrect,Incorrect,Incorrect
Q1_吃_bear_0383,Q1,百科释义吃一堑长一智，本为石匠师傅打石磨时，石胚吃一钎，石胚即长一齿之意。,metaphorical,忍受，承受,感受,把东西送进口中咽下,,C,A,C,B,Incorrect,Correct,Incorrect
Q1_开_enlarge_0128,Q1,接下来详细解释这一概念：1.基本含义：在日常用语中，“开拓”一词常常用来描述对未知领域的探索和开发。,metaphorical,扩大,贯通，使通,分割,启，张，把关闭的东西打开,D,D,D,A,Correct,Correct,Incorrect
Q1_拿_take_0005,Q1,1.拿别人手机涉嫌犯罪：若手机是遗失物，捡到者需归还；若手机价值超5千且拒不归还，涉嫌侵占罪。,proto,拿取实物,控制、掌控,攻下，占领,,A,A,A,C,Correct,Correct,Incorrect
Q1_开_seperate_0143,Q1,劈开砖以其自然的质感，表面…。,image schema,贯通，使通,分割,扩大,启，张，把关闭的东西打开,D,B,B,A,Incorrect,Incorrect,Incorrect
Q1_走_walk_0253,Q1,建议你在那扎营等白令海峡结冰走过去，5、60迈。,proto,行走,往来，社交,移动,,A,C,A,B,Incorrect,Correct,Incorrect
Q1_开_open_0114,Q1,在打开电脑之前，有一些准备工作是必要的。,proto,扩大,分割,启，张，把关闭的东西打开,贯通，使通,C,A,A,C,Incorrect,Incorrect,Correct
Q1_开_cut_through_0124,Q1,今天嘉美开板，我说这个事情最好不要掺和。,image schema,扩大,贯通，使通,启，张，把关闭的东西打开,分割,C,C,C,C,Correct,Correct,Correct
Q1_开_open_0110,Q1,二、打开“米家”app：1：我的→实验室功能→iOS捷径→点开“将…。,proto,贯通，使通,启，张，把关闭的东西打开,扩大,分割,B,B,B,C,Correct,Correct,Incorrect
Q1_拿_control_0016,Q1,已经毕业，拿到了学位证，但是遗失。,metaphorical,控制、掌控,攻下，占领,拿取实物,,C,C,C,B,Correct,Correct,Incorrect
Q1_吃_bear_0380,Q1,解释：本为石匠师傅打石磨时，石胚吃一钎，石胚即长一齿之意。,metaphorical,把东西送进口中咽下,感受,忍受，承受,,A,C,A,C,Incorrect,Correct,Incorrect
Q1_开_open_0109,Q1,其实很简单操作方法01首先在开启背光灯之前，要确定…。,proto,扩大,启，张，把关闭的东西打开,分割,贯通，使通,B,B,B,B,Correct,Correct,Correct
Q1_走_move_0265,Q1,很多人快要走的时候，往往想开了、放下了、解脱了，就会变得很善良，给别人帮助，给别人说一些好话。,image schema,移动,行走,往来，社交,,B,B,A,C,Correct,Incorrect,Incorrect
Q1_拿_take_0007,Q1,那么，如何在游戏中拿出手机呢。,proto,拿取实物,攻下，占领,控制、掌控,,A,A,A,C,Correct,Correct,Incorrect
Q1_开_cut_through_0118,Q1,开通后支持刷手机乘坐公交、地铁、出租、轮渡、有轨电车，与实体卡享受…。,image schema,启，张，把关闭的东西打开,贯通，使通,扩大,分割,A,B,B,A,Incorrect,Incorrect,Correct
Q1_走_walk_0256,Q1,盲人走在盲道上有绝对的路权，也不可有任何障碍物阻挡盲道。,proto,行走,移动,往来，社交,,A,B,A,A,Incorrect,Correct,Correct
Q1_吃_eat_0359,Q1,医生：若想稳定尿酸，3种素食尽量少吃_代谢_饮食_果糖。,proto,感受,忍受，承受,把东西送进口中咽下,,C,C,C,B,Correct,Correct,Incorrect
Q1_吃_feel_0365,Q1,比如说你和你女朋友逛街时，你看见一个漂亮的女孩，瞄了两眼，这时你女朋友的表情就是吃醋。,metaphorical,感受,把东西送进口中咽下,忍受，承受,,B,A,B,C,Incorrect,Correct,Incorrect
Q1_拿_take_0008,Q1,日前，成都一女子拿着手机骑单车，不慎摔倒后身亡。,proto,控制、掌控,拿取实物,攻下，占领,,B,B,B,D,Correct,Correct,Incorrect
Q1_拿_control_0013,Q1,拿到香港身份不难，但拿到香港护照，时间跨度是比较久的。,metaphorical,控制、掌控,攻下，占领,拿取实物,,C,C,C,D,Correct,Correct,Incorrect
Q1_走_social_contact_0274,Q1,这期间，几乎家家户户不是忙着走亲戚，便是忙着招待来客。,metaphorical,移动,行走,往来，社交,,B,C,A,D,Incorrect,Incorrect,Incorrect
Q1_拿_take_0003,Q1,"免费下载和使用800,000+个“拿手机”素材图片。",proto,攻下，占领,控制、掌控,拿取实物,,C,C,C,A,Correct,Correct,Incorrect
Q1_拿_control_0017,Q1,十拿九稳成语解释十拿九稳【解释】比喻很有把握。,metaphorical,控制、掌控,拿取实物,攻下，占领,,B,B,B,B,Correct,Correct,Correct
Q1_开_open_0113,Q1,本文将详细介绍电脑开机时需要按下的键及其相关操作。,proto,扩大,分割,启，张，把关闭的东西打开,贯通，使通,C,C,C,B,Correct,Correct,Incorrect
Q1_走_walk_0252,Q1,对某种事物迷恋到失去理智的地步掩鼻而过：捂着鼻子走过去。,proto,移动,行走,往来，社交,,B,B,A,C,Correct,Incorrect,Incorrect
Q1_吃_eat_0356,Q1,”、“吃太多会胖，吃太少会饿，怎么才能刚刚好。,proto,忍受，承受,把东西送进口中咽下,感受,,B,B,B,D,Correct,Correct,Incorrect
Q1_拿_take_0006,Q1,",手拿黑色苹果手机,双手拿着智能手机，处于横向视…。",proto,拿取实物,攻下，占领,控制、掌控,,A,A,A,D,Correct,Correct,Incorrect
Q1_走_move_0263,Q1,和女朋友家庭条件差距很大，两个人能走到最后吗。,image schema,移动,行走,往来，社交,,B,B,A,A,Correct,Incorrect,Incorrect
Q1_吃_feel_0367,Q1,词语解释吃瘪[chībiě]⒈方言。,metaphorical,感受,把东西送进口中咽下,忍受，承受,,B,B,B,C,Correct,Correct,Incorrect
Q1_吃_feel_0369,Q1,3、如今竟在一个马贼出身的幸臣面前屡屡吃瘪，叫他如何能受得了。,metaphorical,忍受，承受,感受,把东西送进口中咽下,,C,A,A,C,Incorrect,Incorrect,Correct
Q1_开_enlarge_0129,Q1,上海拓开电子有限公司是国内一家同时作为国际一线品牌中国总代理的公司。,metaphorical,启，张，把关闭的东西打开,扩大,贯通，使通,分割,A,B,A,D,Incorrect,Correct,Incorrect
Q1_开_enlarge_0125,Q1,获取最新的Win11更新资讯、解决方案和资源分享，助力每位计算机爱好者和开发者。,metaphorical,贯通，使通,扩大,分割,启，张，把关闭的东西打开,D,D,D,D,Correct,Correct,Correct
Q1_吃_feel_0374,Q1,假面骑士中那些变身后光速吃瘪(20秒内)的骑士_哔哩哔哩_bilibili。,metaphorical,把东西送进口中咽下,感受,忍受，承受,,A,C,C,C,Incorrect,Incorrect,Incorrect
Q1_开_cut_through_0121,Q1,2、单开锁是外面有个钥匙孔，室外要用钥匙…。,image schema,贯通，使通,扩大,分割,启，张，把关闭的东西打开,D,D,D,D,Correct,Correct,Correct
Q1_吃_eat_0363,Q1,网上流传着7种人不能吃醋的新闻，可是仔细看来，却又不是没有道理。,proto,把东西送进口中咽下,忍受，承受,感受,,A,A,A,D,Correct,Correct,Incorrect
Q1_开_seperate_0136,Q1,题干中的“劈开太行山，漳河穿山来”是一句具有特定历史和文化背景的描述，它指向的是某一具体的水利工程。,image schema,分割,启，张，把关闭的东西打开,扩大,贯通，使通,B,A,A,A,Incorrect,Incorrect,Incorrect
Q1_吃_bear_0382,Q1,其实这句话很难实现，如果人人都能做到这一点，吃堑即长智，受挫便成长，这世界上就不会有失败者。,metaphorical,忍受，承受,感受,把东西送进口中咽下,,C,B,B,D,Incorrect,Incorrect,Incorrect
Q1_走_walk_0259,Q1,过去我们就是鉴于他们的经验教训，少走了一些弯路…。,proto,往来，社交,行走,移动,,B,C,C,A,Incorrect,Incorrect,Incorrect
Q1_吃_bear_0377,Q1,吃一堑，长一智指受一次挫折，得到一次教训，就增长一分才智。,metaphorical,把东西送进口中咽下,忍受，承受,感受,,A,B,B,C,Incorrect,Incorrect,Incorrect
Q1_走_social_contact_0271,Q1,春节过后，也正式进入了互相走亲访友的日子了。,metaphorical,往来，社交,行走,移动,,B,B,B,D,Correct,Correct,Incorrect
Q1_开_cut_through_0116,Q1,那么，准妈咪们和新妈咪是否知道开奶、通奶、催奶的技巧?如何在哺乳后期顺利回奶?今天，小编就…。,image schema,分割,贯通，使通,启，张，把关闭的东西打开,扩大,C,A,A,B,Incorrect,Incorrect,Incorrect
Q1_开_enlarge_0133,Q1,它强调通过努力和创造力去拓展新的领域，突破传统的限制，开创新的局面。,metaphorical,分割,启，张，把关闭的东西打开,贯通，使通,扩大,B,B,A,B,Correct,Incorrect,Correct
Q1_走_social_contact_0270,Q1,无论是习俗的变化还是礼物的演进，走亲戚的文化内涵依然深植于每一个中国人的心中，寄托…。,metaphorical,移动,行走,往来，社交,,B,B,B,D,Correct,Correct,Incorrect
Q1_开_cut_through_0123,Q1,开通后支持刷手机乘坐公交、地铁、出租、轮渡、有轨电车，与实体卡享受同样的乘车优惠。,image schema,扩大,分割,启，张，把关闭的东西打开,贯通，使通,C,A,A,A,Incorrect,Incorrect,Incorrect
Q1_走_move_0268,Q1,当田字中心有别的棋子时，俗称“塞（相）象眼”，则不许走过去。,image schema,移动,往来，社交,行走,,C,B,A,D,Incorrect,Incorrect,Incorrect
Q1_吃_feel_0366,Q1,吃瘪的意思：1.受窘；受挫：当众吃瘪。,metaphorical,把东西送进口中咽下,忍受，承受,感受,,A,D,D,C,Incorrect,Incorrect,Incorrect
Q1_开_enlarge_0132,Q1,国语辞典开辟[kāipì]⒈开拓、辟建。,metaphorical,贯通，使通,启，张，把关闭的东西打开,分割,扩大,B,C,C,D,Incorrect,Incorrect,Incorrect
Q1_走_walk_0255,Q1,6、梦见走到路的尽头，或是路被挡住…。,proto,移动,往来，社交,行走,,C,D,D,B,Incorrect,Incorrect,Incorrect
Q1_开_open_0107,Q1,开灯睡觉容易打乱身体的生物钟，对身体造成一定的危害：1、影响褪黑素分…。,proto,启，张，把关闭的东西打开,分割,贯通，使通,扩大,A,A,A,B,Correct,Correct,Incorrect
Q1_吃_bear_0378,Q1,吃一堑：意思是受一次栽…。,metaphorical,把东西送进口中咽下,忍受，承受,感受,,A,A,A,C,Correct,Correct,Incorrect
Q1_开_enlarge_0134,Q1,3.古代神话，盘古氏开天辟地。,metaphorical,启，张，把关闭的东西打开,分割,扩大,贯通，使通,A,A,C,A,Correct,Incorrect,Correct
Q1_开_seperate_0138,Q1,25个明亮、大胆的新童话，试图劈开那些“从来如此”的童话和传说，还原女性本来的面目与真实的欲望。,image schema,分割,启，张，把关闭的东西打开,贯通，使通,扩大,B,C,B,D,Incorrect,Correct,Incorrect
Q1_吃_eat_0364,Q1,其食用方法遵循“早吃姜，补药汤”的传统理…。,proto,忍受，承受,把东西送进口中咽下,感受,,B,A,B,A,Incorrect,Correct,Incorrect
Q1_开_open_0112,Q1,本文将详细介绍电脑开机的步骤，以及在不同情况下需要按哪个键。,proto,扩大,贯通，使通,分割,启，张，把关闭的东西打开,D,B,B,C,Incorrect,Incorrect,Incorrect
Q1_拿_occupy_0029,Q1,挑战式销售，4步即可拿下客户。,image schema,拿取实物,攻下，占领,控制、掌控,,A,B,C,D,Incorrect,Incorrect,Incorrect
Q1_吃_eat_0362,Q1,过年过节，杭州人的家宴是不是一定要吃西湖醋鱼。,proto,感受,忍受，承受,把东西送进口中咽下,,C,B,B,D,Incorrect,Incorrect,Incorrect
Q1_吃_feel_0371,Q1,"基本释义[chībiě]""吃瘪""是一个口语词，表示遭受挫折、失败或不利的事。",metaphorical,把东西送进口中咽下,感受,忍受，承受,,A,C,A,A,Incorrect,Correct,Correct
Q1_拿_take_0001,Q1,已经毕业，拿到了学位证，但是遗失。,proto,拿取实物,攻下，占领,控制、掌控,,A,D,C,C,Incorrect,Incorrect,Incorrect
Q1_开_enlarge_0127,Q1,7月23日-24日，2025开放原子开源生态大会在北京举行。,metaphorical,分割,贯通，使通,扩大,启，张，把关闭的东西打开,D,C,A,D,Incorrect,Incorrect,Correct
Q1_拿_occupy_0021,Q1,2、其次表达对该项目的支持和期待，肯定公司的努力，并对新拿下的项目表现出乐观的态…。,image schema,攻下，占领,控制、掌控,拿取实物,,C,A,A,B,Incorrect,Incorrect,Incorrect
Q1_拿_take_0002,Q1,人拿手机图片搜索结果搜索结果不满意。,proto,控制、掌控,攻下，占领,拿取实物,,C,B,B,A,Incorrect,Incorrect,Incorrect
Q1_拿_occupy_0023,Q1,在拿下项目技术人员的过程中，明确项目需求显得尤为重要。,image schema,控制、掌控,拿取实物,攻下，占领,,B,C,C,C,Incorrect,Incorrect,Incorrect
Q1_吃_eat_0358,Q1,今年7月，桂林市纪委监委印发违规吃喝问题专项整治工作任务分工表，明确13项主要任务…。,proto,把东西送进口中咽下,忍受，承受,感受,,A,A,A,C,Correct,Correct,Incorrect
Q1_走_social_contact_0279,Q1,春节走亲戚的顺序如下：1、大年初一：晚辈向长辈拜年。,metaphorical,往来，社交,行走,移动,,B,A,A,D,Incorrect,Incorrect,Incorrect
Q1_走_move_0267,Q1,如果你试讲的10分钟一直在着急走流程，流程是走完了。,image schema,行走,往来，社交,移动,,A,B,B,A,Incorrect,Incorrect,Correct
Q1_吃_feel_0373,Q1,形容吃瘪的成语-形容吃瘪的成语有：1.灰头土脸：形容因失败或受挫而情绪低落、神情沮丧的样子。,metaphorical,忍受，承受,感受,把东西送进口中咽下,,C,A,A,B,Incorrect,Incorrect,Incorrect
Q1_走_walk_0254,Q1,我走在我自己的人生路上，哪怕路途的风雨再大，大到我步履维艰。,proto,移动,往来，社交,行走,,C,B,B,C,Incorrect,Incorrect,Correct
Q1_走_move_0266,Q1,但对于“人走茶凉”也需辩证看待，“不在其位，不谋其政”的这种“茶凉”，应当成为一种常态。,image schema,往来，社交,行走,移动,,B,D,D,D,Incorrect,Incorrect,Incorrect
Q1_走_move_0262,Q1,但对于“人走茶凉”也需辩证看待，“不在其位，不谋其政”的这种“茶凉”，应当成为一种常态。,image schema,行走,移动,往来，社交,,A,B,A,D,Incorrect,Correct,Incorrect
Q1_吃_bear_0376,Q1,吃一堑，长一智是一个汉语成语，本为石匠师傅打石磨时，石胚吃一钎，石胚即长一齿之意。,metaphorical,忍受，承受,把东西送进口中咽下,感受,,B,C,C,A,Incorrect,Incorrect,Incorrect
Q1_吃_bear_0384,Q1,后人添加“吃”字以形象化描述挫折经历。,metaphorical,感受,把东西送进口中咽下,忍受，承受,,B,A,A,B,Incorrect,Incorrect,Correct
Q1_拿_occupy_0020,Q1,要成功拿下项目，需要有一定的准备和策略。,image schema,拿取实物,攻下，占领,控制、掌控,,A,A,A,B,Correct,Correct,Incorrect
Q1_开_seperate_0135,Q1,冰箱单独空开16安行不行。,image schema,贯通，使通,启，张，把关闭的东西打开,分割,扩大,B,C,D,B,Incorrect,Incorrect,Correct
Q1_走_walk_0251,Q1,「世界是一座桥，走过去，不要在上面盖房子」的英文原文是什么。,proto,往来，社交,行走,移动,,B,C,C,B,Incorrect,Incorrect,Correct
Q1_吃_eat_0361,Q1,吐槽不好吃的，是你没吃对地方，你自己不知道吗。,proto,忍受，承受,感受,把东西送进口中咽下,,C,C,C,B,Correct,Correct,Incorrect
Q1_拿_control_0014,Q1,以下我说拿的，是可以正常购买或者拾取的，说偷的，则表示需要潜行或者遮掩视线偷的。,metaphorical,控制、掌控,拿取实物,攻下，占领,,B,A,C,B,Incorrect,Incorrect,Correct
Q1_走_social_contact_0272,Q1,"不出正月都是年,平日里走动少的老亲戚、老相识…。",metaphorical,往来，社交,移动,行走,,C,A,A,A,Incorrect,Incorrect,Incorrect
Q1_吃_eat_0357,Q1,日本天皇为了打胜仗，要带头节约，一天只吃两顿饭，节省出一顿饭的开销当作军费，鼓励前方士兵打仗。,proto,感受,忍受，承受,把东西送进口中咽下,,C,A,B,D,Incorrect,Incorrect,Incorrect
Q2_走_social_contact_0313,Q2,经历了几年的封禁后，这个可以随意走动的春节，意义非同凡响。,metaphorical,行走,移动,往来，社交,,A,C,A,C,Incorrect,Correct,Incorrect
Q2_拿_control_0046,Q2,例:有他出面幫忙，這事已十拿九穩。,metaphorical,控制、掌控,拿取实物,攻下，占领,,B,C,C,D,Incorrect,Incorrect,Incorrect
Q2_吃_eat_0390,Q2,吃饭是人摄入负熵维持耗散体系的主要方…。,proto,忍受，承受,感受,把东西送进口中咽下,,C,C,A,D,Correct,Incorrect,Incorrect
Q2_开_seperate_0196,Q2,对于毛泽东思想，更不能用“三七开”的定量方式来理解。,image schema,启，张，把关闭的东西打开,扩大,贯通，使通,分割,A,C,B,D,Incorrect,Incorrect,Incorrect
Q2_开_cut_through_0168,Q2,混凝土梁上开洞必须严格遵循相关规范，从开洞位置、尺寸、补强到施工等各个环节都要谨慎对待。,image schema,启，张，把关闭的东西打开,贯通，使通,分割,扩大,A,A,A,B,Correct,Correct,Incorrect
Q2_吃_eat_0388,Q2,?在日常交流中，你是否曾注意到那微妙的差异——“吃过”、“吃了”和“吃完”。,proto,感受,忍受，承受,把东西送进口中咽下,,C,A,B,C,Incorrect,Incorrect,Correct
